Batch_Name	Plate_Name	Well_Count	Images_per_site	Sites_per_well_Median	Sites_per_well_mad
2022_08_22_Batch_1	2022_08_08_PPL8_100-800	384	4	9	0.005
2023-12-15_B4A3R1	2023-12-15_B4A3R1_P1T1	384	7	9	0.0
2023-12-15_B4A3R1	2023-12-15_B4A3R1_P1T2	384	7	9	0.0
2023-12-15_B4A3R1	2023-12-18_B4A3R1_P1T3	384	7	9	0.0
2023-12-15_B4A3R1	2023-12-18_B4A3R1_P1T4	384	7	9	0.0
2023-12-15_B4A4R1	2023-12-15_B4A4R1_P1T1	384	7	9	0.0
2023-12-15_B4A4R1	2023-12-16_B4A4R1_P1T2	384	7	9	0.0
2023-12-15_B4A4R1	2023-12-16_B4A4R1_P1T3	384	7	9	0.0
2023-12-15_B4A4R1	2023-12-16_B4A4R1_P1T4	384	7	9	0.0
2023-12-21_B6A3R2	2023-12-21_B6A3R2_P1T1	384	7	9	0.0
2023-12-21_B6A3R2	2023-12-21_B6A3R2_P1T2	384	7	9	0.0
2023-12-21_B6A3R2	2023-12-21_B6A3R2_P1T3	384	7	9	0.0
2023-12-21_B6A3R2	2023-12-21_B6A3R2_P1T4	384	7	9	0.0
2023-12-22_B6A4R2	2023-12-22_B6A4R2_P1T1	384	7	9	0.0
2023-12-22_B6A4R2	2023-12-22_B6A4R2_P1T2	384	7	9	0.0
2023-12-22_B6A4R2	2023-12-22_B6A4R2_P1T3	384	7	9	0.0
2023-12-22_B6A4R2	2023-12-22_B6A4R2_P1T4	384	7	9	0.0
2023_02_23_Batch_3	2022_09_29_PPL9_P2	384	4	9	0.0
2023_02_23_Batch_3	2022_09_29_PPL9_P3	384	4	9	0.0
2023_02_23_Batch_3	2022_10_11_PPL9_P1	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-24_B1A1R1_P1T2	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-25_B1A1R1_P1T3	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-25_B1A1R1_P1T4	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-26_B1A1R1_P2T1	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-26_B1A1R1_P2T2	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-26_B1A1R1_P2T3	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-26_B1A1R1_P2T4	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-29_B1A1R1_P3T1	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-29_B1A1R1_P3T2	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-29_B1A1R1_P3T3	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-30_B1A1R1_P1T1	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-30_B1A1R1_P3T4	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-30_B1A1R1_P4T1	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-30_B1A1R1_P4T2	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-30_B1A1R1_P4T3	384	4	9	0.0
2023_05_30_B1A1R1	2023-05-30_B1A1R1_P4T4	384	4	9	0.0
2024_01_23_Batch_7	2024_01_17_B7A1R1_P1T1	384	7	9	0.0
2024_01_23_Batch_7	2024_01_17_B7A1R1_P1T2	384	7	9	0.0
2024_01_23_Batch_7	2024_01_17_B7A1R1_P1T3	384	7	9	0.0
2024_01_23_Batch_7	2024_01_17_B7A1R1_P1T4	384	7	9	0.0
2024_01_23_Batch_7	2024_01_17_B7A1R1_P2T1	384	7	9	0.0
2024_01_23_Batch_7	2024_01_17_B7A1R1_P2T2	384	7	9	0.0
2024_01_23_Batch_7	2024_01_17_B7A1R1_P2T3	384	7	9	0.0
2024_01_23_Batch_7	2024_01_17_B7A1R1_P2T4	384	7	9	0.0
2024_01_23_Batch_7	2024_01_18_B7A1R1_P3T1	384	7	9	0.0
2024_01_23_Batch_7	2024_01_19_B7A1R1_P3T2	384	7	9	0.0
2024_01_23_Batch_7	2024_01_19_B7A1R1_P3T3	384	7	9	0.0
2024_01_23_Batch_7	2024_01_19_B7A1R1_P3T4	384	7	9	0.0
2024_01_23_Batch_7	2024_01_19_B7A1R1_P4T1	384	7	9	0.0
2024_01_23_Batch_7	2024_01_22_B7A1R1_P4T3	384	7	9	0.0
2024_01_23_Batch_7	2024_01_22_B7A1R1_P4T4	384	7	9	0.0
2024_01_23_Batch_7	2024_01_22_B7A2R1_P1T1	384	7	9	0.0
2024_01_23_Batch_7	2024_01_22_B7A2R1_P1T2	384	7	9	0.0
2024_01_23_Batch_7	2024_01_22_B7A2R1_P1T3	384	7	9	0.0
2024_01_23_Batch_7	2024_01_23_B7A1R1_P4T2	384	7	9	0.0
2024_01_23_Batch_7	2024_01_23_B7A2R1_P1T4	384	7	9	0.0
2024_02_06_Batch_8	2024_01_31_B8A1R2_P1T1	384	7	9	0.0
2024_02_06_Batch_8	2024_01_31_B8A1R2_P1T2	384	7	9	0.0
2024_02_06_Batch_8	2024_01_31_B8A1R2_P1T3	384	7	9	0.0
2024_02_06_Batch_8	2024_01_31_B8A1R2_P1T4	384	7	9	0.0
2024_02_06_Batch_8	2024_01_31_B8A1R2_P2T1	384	7	9	0.0
2024_02_06_Batch_8	2024_02_01_B8A1R2_P2T2	384	7	9	0.0
2024_02_06_Batch_8	2024_02_01_B8A1R2_P2T3	384	7	9	0.0
2024_02_06_Batch_8	2024_02_01_B8A1R2_P2T4	384	7	9	0.0
2024_02_06_Batch_8	2024_02_02_B8A1R2_P3T1	384	7	9	0.0
2024_02_06_Batch_8	2024_02_02_B8A1R2_P3T2	384	7	9	0.0
2024_02_06_Batch_8	2024_02_02_B8A1R2_P3T3	384	7	9	0.0
2024_02_06_Batch_8	2024_02_02_B8A1R2_P3T4	384	7	9	0.0
2024_02_06_Batch_8	2024_02_02_B8A1R2_P4T1	384	7	9	0.0
2024_02_06_Batch_8	2024_02_05_B8A1R2_P4T2	384	7	9	0.0
2024_02_06_Batch_8	2024_02_05_B8A1R2_P4T3	384	7	9	0.0
2024_02_06_Batch_8	2024_02_05_B8A1R2_P4T4	384	7	9	0.0
2024_02_06_Batch_8	2024_02_05_B8A2R2_P1T1	384	7	9	0.0
2024_02_06_Batch_8	2024_02_05_B8A2R2_P1T2	384	7	9	0.0
2024_02_06_Batch_8	2024_02_06_B8A2R2_P1T3	384	7	9	0.0
2024_02_06_Batch_8	2024_02_06_B8A2R2_P1T4	384	7	9	0.0
2025_01_27_Batch_13	2025_01_27_B13A7A8P1_T1	384	4	9	0.000
2025_01_27_Batch_13	2025_01_27_B13A7A8P1_T2	384	4	9	0.000
2025_01_27_Batch_13	2025_01_27_B13A7A8P1_T3	384	4	9	0.000
2025_01_27_Batch_13	2025_01_27_B13A7A8P1_T4	384	4	9	0.000
2025_01_27_Batch_13	2025_01_27_B13A7A8P2_T1	384	4	9	0.000
2025_01_27_Batch_13	2025_01_27_B13A7A8P2_T2	384	4	9	0.000
2025_01_27_Batch_13	2025_01_27_B13A7A8P2_T3	384	4	9	0.000
2025_01_27_Batch_13	2025_01_27_B13A7A8P2_T4	384	4	9	0.000
2025_01_28_Batch_14	2025_01_28_B14A7A8P1_T1	384	4	9	0.000
2025_01_28_Batch_14	2025_01_28_B14A7A8P1_T2	384	4	9	0.000
2025_01_28_Batch_14	2025_01_28_B14A7A8P1_T3	384	4	9	0.000
2025_01_28_Batch_14	2025_01_28_B14A7A8P1_T4	384	4	9	0.000
2025_01_28_Batch_14	2025_01_28_B14A7A8P2_T1	384	4	9	0.000
2025_01_28_Batch_14	2025_01_28_B14A7A8P2_T2	384	4	9	0.000
2025_01_28_Batch_14	2025_01_28_B14A7A8P2_T3	384	4	9	0.005
2025_01_28_Batch_14	2025_01_28_B14A7A8P2_T4	384	4	9	0.000
Batch_EM1	B10A6R2_P01	384	7	9	0.0
Batch_EM1	B10A6R2_P01_widefield	384	4	9	0.0
Batch_EM1	B10A6R2_P02	384	7	9	0.0
Batch_EM1	B10A6R2_P02_widefield	384	4	9	0.021
Batch_EM1	B9A6R1_P01	384	7	9	0.0
Batch_EM1	B9A6R1_P01_widefield	384	4	9	0.0
Batch_EM1	B9A6R1_P02	384	7	9	0.0
Batch_EM1	B9A6R1_P02_widefield	384	4	9	0.0
